	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2019wet-88-S-OM	2019_wet	88-S-OM	88	S	OM	Abies	Abies_1	5.37	8.69	19.88	166.8	9.23	12.505	190	96.9767441860465	11.1595793079455
ITS2-2019wet-92-N-OS	2019_wet	92-N-OS	92	N	OS	Abies	Abies_2	5.43	11.15	14.88	251.28	10.06	4.1267	154	146.093023255814	13.1025132964856
ITS2-2019wet-80-N-OS	2019_wet	80-N-OS	80	N	OS	Picea	Picea_2	5.53	15.31	16.38	614.73	34.78	11.7618	205	357.401162790698	23.344295414154
ITS2-2019wet-81-S-OS	2019_wet	81-S-OS	81	S	OS	Picea	Picea_3	5.54	15.5	15.51	503.39	32.45	14.3201	280	292.668604651163	18.8818454613653
ITS2-2019wet-80-S-OS	2019_wet	80-S-OS	80	S	OS	Picea	Picea_2	5.56	5.16	15.27	397.14	33.39	10.0572	205	230.895348837209	44.7471606273661
ITS2-2019wet-91-N-OM	2019_wet	91-N-OM	91	N	OM	Abies	Abies_2	5.56	7.53	9.16	105.56	11.09	2224.1647	153	61.3720930232558	8.15034435899812
ITS2-2019wet-81-S-OM	2019_wet	81-S-OM	81	S	OM	Picea	Picea_3	5.57	6.81	20.35	151.6	9.04	3.5575	280	88.1395348837209	12.94266297852
ITS2-2019wet-87-S-OS	2019_wet	87-S-OS	87	S	OS	Abies	Abies_1	5.58	16.23	13.61	453.8	19.16	11.0107	200	263.837209302326	16.2561435183195
ITS2-2019wet-91-S-OM	2019_wet	91-S-OM	91	S	OM	Abies	Abies_2	5.59	6.54	15.59	121.02	9.7	8.7515	153	70.3604651162791	10.7584809046298
ITS2-2019wet-91-S-OS	2019_wet	91-S-OS	91	S	OS	Abies	Abies_2	5.6	17.96	17.73	262.71	34.4	5.037	153	152.738372093023	8.50436370228415
ITS2-2019wet-80-N-OM	2019_wet	80-N-OM	80	N	OM	Picea	Picea_2	5.63	6.25	15.43	161.7	24.91	5.0668	205	94.0116279069767	15.0418604651163
ITS2-2019wet-77-N-OM	2019_wet	77-N-OM	77	N	OM	Picea	Picea_2	5.76	8.94	13.45	191.99	26.32	182.2816	396	111.622093023256	12.4856927319078
ITS2-2019wet-88-S-OS	2019_wet	88-S-OS	88	S	OS	Abies	Abies_1	5.77	18.79	18.69	419.53	23.98	0.1375	190	243.912790697674	12.9809893931705
ITS2-2019wet-77-S-OS	2019_wet	77-S-OS	77	S	OS	Picea	Picea_2	5.78	16.3	15.75	323.87	1.98	37.8719	396	188.296511627907	11.551933228706
ITS2-2019wet-88-N-OM	2019_wet	88-N-OM	88	N	OM	Abies	Abies_1	5.82	5.14	15.51	109.23	7.16	2.6602	190	63.5058139534884	12.3552167224686
ITS2-2019wet-88-N-OS	2019_wet	88-N-OS	88	N	OS	Abies	Abies_1	5.94	8.72	11.7	344.74	23.62	4.1954	190	200.43023255814	22.9851184126307
ITS2-2019wet-78-S-OM	2019_wet	78-S-OM	78	S	OM	Picea	Picea_2	5.98	13.76	16.94	278.31	23.62	289.5418	231	161.808139534884	11.7593124661979
ITS2-2019wet-78-S-OS	2019_wet	78-S-OS	78	S	OS	Picea	Picea_2	6.05	11.3	13.69	355.2	24.15	24.2779	231	206.511627906977	18.2753653015024
ITS2-2019wet-79-S-OM	2019_wet	79-S-OM	79	S	OM	Picea	Picea_2	6.06	7.03	2.18	170.8	14.83	257.0577	279	99.3023255813954	14.1255086175527
ITS2-2019wet-91-N-OS	2019_wet	91-N-OS	91	N	OS	Abies	Abies_2	6.09	15.69	20.51	496.41	37.09	33.9897	153	288.610465116279	18.3945484459069
ITS2-2019wet-79-N-OS	2019_wet	79-N-OS	79	N	OS	Picea	Picea_2	6.11	23.8	4.32	632.58	18.74	13.5222	279	367.779069767442	15.452902091069
ITS2-2019wet-77-S-OM	2019_wet	77-S-OM	77	S	OM	Picea	Picea_2	6.19	12.02	10.99	274.23	21.75	0.0886	396	159.436046511628	13.2642301590373
ITS2-2019wet-87-S-OM	2019_wet	87-S-OM	87	S	OM	Abies	Abies_1	6.64	6.06	14.48	122.4	24.91	148.4528	200	71.1627906976744	11.7430347685931
ITS2-2020dry-61-N-OM	2020_dry	61-N-OM	61	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020dry-61-N-OS	2020_dry	61-N-OS	61	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020dry-61-S-OM	2020_dry	61-S-OM	61	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020dry-61-S-OS	2020_dry	61-S-OS	61	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020wet-61-N-OM	2020_wet	61-N-OM	61	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020wet-61-N-OS	2020_wet	61-N-OS	61	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020wet-61-S-OM	2020_wet	61-S-OM	61	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020wet-61-S-OS	2020_wet	61-S-OS	61	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	155	NA	NA
ITS2-2020dry-62-N-OM	2020_dry	62-N-OM	62	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-62-N-OS	2020_dry	62-N-OS	62	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-62-S-OM	2020_dry	62-S-OM	62	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-62-S-OS	2020_dry	62-S-OS	62	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
